"text","structure","emojis","emotion"
"tt.token ray `` of sunshine `` novak a good little boy scout tt.token tt.token","HT NNP `` IN NNP `` NNP DT JJ JJ NNP NNP HT HT","","5.0"
"document passed out from the agricultural producers association of saskatchewan tt.token","NN VBD RP IN DT NNP NNP NNP IN NNP HT","","2.0"
"the human freedom index canada is ranked 6th of 152 countries tt.token tt.token tt.token url","DT NNP NNP NNP NNP VBZ VBN JJ IN CD NNS HT HT HT URL","","5.0"
". usr & usr in tt.token this am ! tt.token tt.token",". USR CC USR IN HT DT NN . HT HT","","3.5"
"setting for a round table discussion with usr on tt.token & tt.token tt.token tt.token tt.token","VBG IN DT NN NN NN IN USR IN HT CC HT HT HT HT","","2.0"
"one more reason canadian youth ought to vote wisely . tt.token tt.token source : statcan 282-0001","CD RBR NN JJ NN VBD TO VB RB . HT HT NN : UH CD","","3.5"
"hah ! @pmoharper's trickle down economics becomes even more distasteful . tt.token tt.token","UH . VBZ VBN RP NNS VBZ RB RBR JJ . HT HT","","0.0"
"conservative support collapse : 40% past tt.token voters 2 vote for another party tt.token tt.token url","JJ NNP NN : CD JJ HT NNS CD NN IN DT NN HT HT URL","","-1.5"
"canadian media guild : how to champion public broadcasting during the election | tt.token url","NNP NNP NNP : WRB TO NNP NNP NNP IN DT NN : HT URL","","2.0"
"harper has passed laws to keep cdns who oppose him from voting : the guardian tt.token tt.token url","NNP VBZ VBN NNS TO VB NNS WP VBP PRP IN VBG : DT NNP HT HT URL","","-1.5"
"we have usr hosting , usr at podium with remarks . tt.token tt.token tt.token","PRP VBP USR VBG , USR IN NN IN NNS . HT HT HT","","2.0"
"knocking doors today w/ usr for usr in tt.token ! tt.token tt.token","VBG NN NN IN USR IN USR IN HT . HT HT","","3.5"
"and we're underway at tonight's citywide national food policy forum tt.token tt.token","CC VBD RB IN NNP JJ JJ NN NN NN HT HT","","2.0"
"a liberal govt . will scrap conservatives bill c-24 and foster unity : tt.token tt.token tt.token url","DT JJ NN . MD VB NNS NNP NNP CC NNP NN : HT HT HT URL","","-5.0"
"the ballot question in 2015 ? integrity . tt.token tt.token tt.token tt.token url","DT NN NN IN CD . NN . HT HT HT HT URL","","2.0"
"can't wait for another grumpy `` ole man tt.token tt.token tt.token","MD VB IN DT NNP `` NNP NNP HT HT HT","","2.0"
"78% liberal , 72% ndp , 65% green , 47% cpc ( usr ); usr results : tt.token tt.token url","CD JJ , CD NNP , CD NNP , CD NNP -LRB- USR : USR NNS : HT HT URL","","2.0"
"tt.token `` the boogie man badge `` tt.token tt.token tt.token tt.token","HT `` NNP NNP NNP NNP `` HT HT HT HT","","2.0"
"the party has started ! usr plays to a large crowd ! look at all the usr volunteers tt.token tt.token","DT NN VBZ VBN . USR VBZ TO DT JJ NN . VBP IN DT DT USR NNS HT HT","","2.0"
"tomorrow ! tt.token planning & strategy session in tt.token : tt.token tt.token tt.token url","NN . HT VBG CC NN NN IN HT : HT HT HT URL","","3.5"
"and finally tt.token tt.token","CC RB HT HT","","3.5"
"usr .. the 80's called . they want their cord back . tt.token tt.token tt.token","USR : DT NNS VBD . PRP VBP PRP$ NN RB . HT HT HT","","2.0"
"given @pmharper's destruction of our libraries , ya think this was drawn with him in mind ? g'bye tt.token dolts ! tt.token","VBN VBZ NN IN PRP$ NNS , PRP VBP DT VBD VBN IN PRP IN NN . UH HT NNS . HT","","0.0"
"great to have usr of usr addressing us in tt.token for tt.token . #educating on the issues is critical","JJ TO VB USR IN USR VBG PRP IN HT IN HT . VBG IN DT NNS VBZ JJ","","5.0"
"harper claims the problem of unsettled refugees cannot be solved by refugee settlement . tt.token tt.token","NNP VBZ DT NN IN JJ NNS MD VB VBN IN NN NN . HT HT","","-1.5"
"harper is under fire on tt.token during week 3 of tt.token negative mentions abound . url","NNP VBZ IN NN IN HT IN NN CD IN HT JJ NNS VBN . URL","","-5.0"
"politicians lies ! numbers don't! tt.token tt.token tt.token tt.token","NNS NNS . NNS VBP HT HT HT HT","","0.0"
"usr `` s 3 point plan for the tt.token , now that's tt.token ! tt.token tt.token tt.token tt.token","USR `` VBZ CD NN NN IN DT HT , RB DT HT . HT HT HT HT","","4.0"
"is tt.token trending yet ? just asking . . . tt.token tt.token tt.token tt.token tt.token tt.token","VBZ HT VBG RB . RB VBG . . . HT HT HT HT HT HT","","-1.5"
"typical cpc : rt usr : look at the tt.token lies usr is sending out // usr usr","JJ NNP : RT USR : VB IN DT HT NNS USR VBZ VBG RP : USR USR","","5.0"
"huge turnout at the usr campaign office . tt.token tt.token tt.token great to see the momentum ! tt.token","JJ NN IN DT USR NN NN . HT HT HT JJ TO VB DT NN . HT","","5.0"
"usr shares his delight at @justintrudeau's transit investment announcement . tt.token tt.token","USR VBZ PRP$ NN IN NNP NN NN NN . HT HT","","2.0"
"peter stoffer , mp , supports via tt.token tt.token tt.token","NNP NNP , NNP , VBZ IN HT HT HT","","2.0"
"`` usr : why you do it . tt.token tt.token","`` USR : WRB PRP VBP PRP . HT HT","","2.0"
"join tt.token & usr for the biggest tt.token event in bc ! info & to rsvp : tt.token url","VBG HT CC USR IN DT JJS HT NN IN RB . NN CC TO VB : HT URL","","5.0"
"what kind of parent would allow their children to be used like this ? the lack of interest is incredible . tt.token","WP NN IN NN MD VB PRP$ NN TO VB VBN IN DT . DT NN IN NN VBZ JJ . HT","","-5.0"
"learn more . click on tt.token tt.token tt.token url","VB JJR . NN IN HT HT HT URL","","2.0"
"usr let's put tt.token on tt.token and tt.token agendas . ian's in tt.token tmr & 9/10th mornings . tt.token","USR VBZ VB HT IN HT CC HT NNS . NNP IN HT NN CC CD NNS . HT","","2.0"
"progressive canadians stand up for democratic rights in tt.token , respect for parliament . `` integrity matters . `` tt.token","JJ NNS VBP RP IN JJ NNS IN HT , VB IN NNP . `` NN NNS . `` HT","","5.0"
"tt.token : smell that ? smells like cooking books . an actual surplus just in time for tt.token url","HT : NN DT . VBZ IN VBG NNS . DT JJ NNS RB IN NN IN HT URL","","5.0"
"usr timely art exhibition in ottawa this october : … … … … … … tt.token tt.token url","USR JJ NN NN IN NNP DT NNP : UH UH UH UH UH UH HT HT URL","","2.0"
"strong analysis from usr on the tt.token ad war tt.token url","JJ NN IN USR IN DT HT NN NN HT URL","","3.5"
"joining usr & his energetic team in ottawa west nepean today tt.token","VBG USR CC PRP$ JJ NN IN NNP NNP NNP NN HT","","0.0"
". usr endorses tt.token infrastructure plan ! we need better & more reliable transit . tt.token tt.token tt.token",". USR VBZ HT NN NN . PRP VBP JJR CC RBR JJ NN . HT HT HT","","2.0"
"great aislin cartoon for the montreal gazette tt.token tt.token tt.token thanks usr","JJ NNP NNP IN DT NNP NNP HT HT HT NNS USR","","3.5"
"usr cites tt.token doctrine as career as tt.token mp comes to a end . tt.token tt.token tt.token tt.token tt.token","USR VBZ HT NN IN NN IN HT NNP VBZ TO DT NN . HT HT HT HT HT","","2.0"
"register to vote with usr and your students `` union ! tt.token tt.token","VB TO VB IN USR CC PRP$ NNS `` NN . HT HT","","3.5"
"usr addressing the troops this morning as we go out canvassing . tt.token tt.token","USR VBG DT NNS DT NN IN PRP VBP RP NN . HT HT","","5.0"
"progressive canadians believe stephen #harper must be held accountable for `` his * senate appointments tt.token tt.token","JJ NNS VB NNP NNP MD VB VBN JJ IN `` PRP$ : NNP NNS HT HT","","0.0"
"the harper years by statistics canada , table 282-0001 tt.token tt.token","DT NNP NNS IN NNP NNP , NNP CD HT HT","","-1.5"
"mt usr i remember . usr tt.token tt.token tt.token tt.token tt.token tt.token tt.token tt.token tt.token","NNP USR PRP VBP . USR HT HT HT HT HT HT HT HT HT","","2.0"
"on a day when tt.token bombs #kurds to support tt.token , tt.token praises turkey tt.token tt.token url","IN DT NN WRB HT NNS NNS TO VB HT , HT VBZ NNP HT HT URL","","0.0"
"duke and daisy want the tt.token to start tt.token","NNP CC NNP VBP DT HT TO VB HT","","2.0"
"how the results of this election will affect your taxes : tt.token tt.token url","WRB DT NNS IN DT NN MD VB PRP$ NNS : HT HT URL","","3.5"
"calling on all political parties in these federal tt.token to prioritize student issues tt.token tt.token","VBG IN DT JJ NNS IN DT JJ HT TO VB NN NNS HT HT","","-1.5"
". usr column : tory path to re-election no longer seems clear tt.token url",". USR NN : NNP NN TO VB DT NN VBZ JJ HT URL","","2.0"
"usr campaign office opening . packed house right at kick off tt.token tt.token tt.token","USR NN NN NN . JJ NN RB IN NN RP HT HT HT","","5.0"
"to be fair however , i'm getting emails from a tt.token candidate in tt.token tt.token he's using my name though .","TO VB JJ RB , PRP VBG NNS IN DT HT NN IN HT HT PRP VBG PRP$ NN RB .","","3.5"
"it's fun watching the neighbourhoods turn more and more orange ! tt.token tt.token","PRP JJ VBG DT NNS VBP RBR CC RBR JJ . HT HT","","3.5"
"man , i wish peter mansbridge was actually yelling at harper like these capslock quotes suggest . tt.token","UH , PRP VBP NNP NNP VBD RB VBG IN NNP IN DT NN NNS VBP . HT","","3.5"
"side note . how creepy is this picture ? lady behind mulcair looks like she's plotting his murder . tt.token","NN NN . WRB JJ VBZ DT NN . NNP IN NNP VBZ IN PRP VBG PRP$ NN . HT","","3.5"
"tt.token shameless campaigning by chris alexander on cbcnn interviews today . no integrity , no heart ... no answers","HT NNP VBG IN NNP NNP IN NNP NNS NN . DT NN , DT NN : DT NNS","","-1.5"
"volunteering training ! tt.token tt.token tt.token","VBG NN . HT HT HT","","2.0"
"finally campaign sign ready at home ! usr usr usr tt.token tt.token tt.token","RB NN NN RB IN NN . USR USR USR HT HT HT","","3.5"
"progressive canadian party on bank of canada infrastructure funding . tt.token tt.token url","JJ NNP NNP IN NNP IN NNP NN NN . HT HT URL","","5.0"
"the ndp now up talking about their national food policy tt.token tt.token","DT NNP RB RP VBG IN PRP$ JJ NN NN HT HT","","2.0"
"let's turn the tide around on austerity & tt.token , tt.token of 1938 . … tt.token tt.token url","VBP VB DT NN IN IN NN CC HT , HT IN CD . UH HT HT URL","","3.5"
"jerry bance urine trouble now ! tt.token tt.token tt.token tt.token tt.token tt.token","NNP NNP NN NN RB . HT HT HT HT HT HT","","3.5"
"looks like the protestors will be pretty far from where leaders enter . tt.token tt.token tt.token","VBZ IN DT NNS MD VB RB RB IN WRB NNS VBP . HT HT HT","","2.0"
"my mp pat martin introduces thomas mulcair in winnipeg ! tt.token tt.token tt.token tt.token","PRP$ NNP NNP NNP VBZ NNP NNP IN NNP . HT HT HT HT","","2.0"
"do authoritarian sentiments echo within stephen harper's soul & the tt.token ? tt.token tt.token url","VB JJ NNS NN IN NNP NNP NN CC DT HT . HT HT URL","","-1.5"
"michelle gagnon : ndp wave in quebec still surging usr tt.token tt.token tt.token url","NNP NNP : NNP NN IN NNP RB VBG USR HT HT HT URL","","-1.5"
". usr on economy : balance the budget . small recession doesnt justify plan for 3 yrs of deficits tt.token tt.token",". USR IN NN : VB DT NN . JJ NN MD VB NN IN CD NNS IN NNS HT HT","","-1.5"
"harper cons and tt.token the tt.token gift to tt.token","NNP NNP CC HT DT HT NN TO HT","","-1.5"
"just saw tom mulcair ... tt.token","RB VBD NNP NNP : HT","","5.0"
"this one's for you usr usr & premiers of eastern provs canadians need an answer tt.token tt.token","DT NNS IN PRP USR USR CC NNS IN NNP NNP NNP VBP DT NN HT HT","","2.0"
"team ottawa marching with unions at the labour day parade . usr usr tt.token usr tt.token","NN NNP VBG IN NNS IN DT NN NN NN . USR USR HT USR HT","","3.5"
"tt.token policy on small business ... in perspective tt.token tt.token","HT NN IN JJ NN : IN NN HT HT","","2.0"
"globe + mail , google : still not too late for tonight ! tt.token tt.token tt.token tt.token","NNP NNP NNP , NNP : RB RB RB JJ IN NN . HT HT HT HT","","3.5"
"matching wits , talking tt.token this am w/ corey and zain from usr tt.token tt.token","JJ NNS , VBG HT DT NN IN NNP CC NNP IN USR HT HT","","2.0"
"four times as many canadians want change as want re-election of harpercons . tt.token tt.token","CD NNS IN JJ NNS VBP NN IN VBP NN IN NNP . HT HT","","3.5"
"i will vote in 2015 because veterans deserve better ! tt.token tt.token tt.token tt.token","PRP MD VB IN CD IN NNS VBP JJR . HT HT HT HT","","5.0"
"think b4 voting `` usr : payroll taxes in 2017 for an individual earning $ 60,000 . tt.token . tt.token tt.token","VBP IN VBG `` USR : NNP NNS IN CD IN DT NN VBG NN CD . HT . HT HT","","3.5"
"no invite ? no problem : usr makes twitter her podium for thursday’s tt.token debate url","DT NN . DT NN : USR VBZ NNP PRP$ NN IN NNP HT NN URL","","-1.5"
"usr another sign for the pirates ( 2013 ) . usr tt.token","USR DT NN IN DT NNP -LRB- CD -RRB- . USR HT","","2.0"
"my candidacy certificate , signed and approved by justin trudeau ! tt.token tt.token tt.token tt.token","PRP$ NN NN , VBD CC VBN IN NNP NNP . HT HT HT HT","","5.0"
"funny how the two of us seem to be seeing a lot of each other these days . enjoy the dinner , dean . ? ? ? ? ? ? tt.token tt.token","JJ WRB DT CD IN PRP VBP TO VB VBG DT NN IN DT JJ DT NNS . VB DT NN , NNP . . . . . . . HT HT","","5.0"
"exciting night with over 30 volunteers ! let's get scott andrews elected ! tt.token tt.token tt.token","JJ NN IN IN CD NNS . VBP VB NNP NNP VBN . HT HT HT","","3.5"
"there's another one ... url tt.token tt.token","RB DT NN : URL HT HT","","2.0"
"this hits the nail on its head ! tt.token tt.token tt.token tt.token","DT VBZ DT NN IN PRP$ NN . HT HT HT HT","","-5.0"
". usr tt.token tt.token re : tt.token `` freeze all assets of recruiters .. shut down chatrooms .. talk to parents . ``",". USR HT HT NN : HT `` VB DT NNS IN NNS : VB RP NNS : VB TO NNS . ``","","3.5"
"got my sign ! show your support ! let the orange wave roll tt.token tt.token tt.token","VBD PRP$ NN . NN PRP$ NN . VB DT JJ NN NN HT HT HT","","3.5"
"a guide to reading the meaning behind the message tt.token tt.token","DT NN TO VBG DT NN IN DT NN HT HT","","3.5"
"ottawa centre tt.token candidate not attending tt.token debate . usr & usr + tt.token will be there . tt.token","NNP NNP HT NN RB VBG HT NN . USR CC USR UH HT MD VB RB . HT","","0.0"
"all major august poll results tt.token tt.token usr tt.token tt.token tt.token","DT JJ NNP NN NNS HT HT USR HT HT HT","","2.0"
"this tt.token tt.token","DT HT HT","","2.0"
"come again ... tt.token tt.token tt.token","VB RB : HT HT HT","","-1.5"
"if these children born christian , harper gov't might have prioritized their movement to canada . tt.token tt.token","IN DT NN VBN NNP , NNP NNP MD VB VBN PRP$ NN TO NNP . HT HT","","-1.5"
"proud to stand with tt.token colleagues for affordable housing tt.token tt.token tt.token url","JJ TO VB IN HT NNS IN JJ NN HT HT HT URL","","5.0"
"my cousin sent this to me lol tt.token tt.token","PRP$ NN VBD DT TO PRP UH HT HT","","3.5"
"from the tt.token files in tt.token : usr enlightens us about usr bylaws . tt.token tt.token","IN DT HT NNS IN HT : USR VBZ PRP IN USR NNS . HT HT","","3.5"
"the kids just love tt.token tt.token #intuition tt.token","DT NNS RB VB HT HT NN HT","","5.0"
"two canvass teams meeting up to conquer a new turf . chris `` wife & son joined us too tt.token tt.token","CD NN NNS VBG RP TO VB DT JJ NN . NNP `` NN CC NN VBD PRP RB HT HT","","3.5"
"first tv interview today tt.token tt.token tt.token","JJ NN NN NN HT HT HT","","2.0"
"pc party , tt.token , tt.token , opportunity , tt.token , proudly tt.token pcs tt.token url","NNP NNP , HT , HT , NNP , HT , RB HT NNS HT URL","","5.0"
"more like something fishy is happening ... tt.token tt.token","JJR IN NN JJ VBZ VBG : HT HT","","-5.0"
"thnx for rt usr a leader that's fighting for tt.token . they'll bring change in this tt.token . tt.token","UH IN RT USR DT NN WDT VBG IN HT . PRP VB NN IN DT HT . HT","","5.0"
"1 more then i'm off for my belated 9/11 b-day dinner with the fam ! this sums up how i feel about usr . tt.token","CD RBR IN PRP RP IN PRP$ JJ CD NN NN IN DT NN . DT NN RP WRB PRP VBP IN USR . HT","","2.0"
"awesome - my usr sign arrived while i was at work ! tt.token tt.token","JJ : PRP$ USR NN VBD IN PRP VBD IN NN . HT HT","","5.0"
"my only question for stephen harper would be `` does the carpet match the drapes ? `` tt.token","PRP$ JJ NN IN NNP NNP MD VB `` VBZ DT NN NN DT NNS . `` HT","","3.5"
"the lovely usr collecting funds for the wonderful usr tt.token","DT JJ USR VBG NNS IN DT JJ USR HT","","5.0"
"tt.token let's keep the enthusiasm going through to e-day and beyond tt.token","HT VBZ VB DT NN VBG IN TO NNP CC IN HT","","3.5"
"if abortion is a settled issue in tt.token then why people get upset with images of abortion ? tt.token tt.token tt.token","IN NN VBZ DT JJ NN IN HT IN WRB NNS VBP JJ IN NNS IN NN . HT HT HT","","-1.5"
"lol ! . usr `` s google serp page . it must've changed when the tt.token came out . tt.token","UH . . USR `` NNP NNP NNP NN . PRP VBP VBN WRB DT HT VBD RP . HT","","2.0"
"from worst 2 1st usr overnight data shows tt.token now leading race . mulcair in freefall in on tt.token tt.token","IN JJS CD CD USR NN NN VBZ HT RB VBG NN . NNP IN NN IN IN HT HT","","-1.5"
"if abortion is a settled issue in tt.token then why people get upset with images of abortion ? tt.token tt.token tt.token","IN NN VBZ DT JJ NN IN HT IN WRB NNS VBP JJ IN NNS IN NN . HT HT HT","","-5.0"
"twitter never disappoints ( thx usr ) tt.token tt.token tt.token","NNP RB VBZ -LRB- UH USR -RRB- HT HT HT","","5.0"
"on my run- great to see many usr signs on lawns in the north end ! tt.token wants change tt.token tt.token","IN PRP$ NN JJ TO VB JJ USR NNS IN NNS IN DT NNP NN . HT VBZ NN HT HT","","2.0"
"black votes matter : righting wrongs can start at ballot box : tt.token tt.token url","JJ NNS NN : VBG NNS MD VB IN NN NN : HT HT URL","","-5.0"
"`` a lib gov will make a historic investment in public transit . $20b for public transit `` - usr tt.token tt.token","`` DT NNP NNP MD VB DT JJ NN IN NN NN . NN IN NN NN `` : USR HT HT","","2.0"
"media release : progressive canadian party on bank of canada infrastructure funding . tt.token url","NNP NNP : JJ NNP NNP IN NNP IN NNP NN NN . HT URL","","2.0"
"come out to our office opening tmrw @ 6pm w/ special guest usr & many more surprises ! tt.token tt.token tt.token","VB RP TO PRP$ NN NN NN IN CD IN JJ NN USR CC JJ RBR NNS . HT HT HT","","2.0"
"the letter jack layton wrote to all canadians when he died . let's change the world - tt.token url","DT NN NNP NNP VBD TO DT NNS WRB PRP VBD . VBP VB DT NN : HT URL","","0.0"
"joe oliver cancels speech at `` legendary men's club `` | usr tt.token tt.token url","NNP NNP VBZ NN IN `` JJ NN NN `` : USR HT HT URL","","3.5"
"happy to announce @davidtilson's campaign office in bolton is officially open ! come visit ! tt.token tt.token","JJ TO VB VBZ NN NN IN NNP VBZ RB JJ . VB NN . HT HT","","3.5"
"usr reveals his campaign policy finally . tt.token tt.token … … url url","USR VBZ PRP$ NN NN RB . HT HT : : URL URL","","-1.5"
"labour day kicks the tt.token into high gear ! tt.token <3 to unifor women who made usr a happy ndp candidate","NNP NNP VBZ DT HT IN JJ NN . HT CD TO NNP NNP WP VBD USR DT JJ NNP NNP","","3.5"
"tt.token lookit what just turned up on my fb feed . i think someone's trying to change the ( refugee crisis ) channel ...","HT NN WP RB VBD RP IN PRP$ NNP NN . PRP VBP PRP VBG TO VB DT -LRB- NN NN -RRB- NN :","","-1.5"
"looks like the cpc found a replacement candidate via springfield . usr usr tt.token tt.token","VBZ IN DT NNP VBD DT NN NN IN NNP . USR USR HT HT","","3.5"
"spent my afternoon painting tt.token blue for usr . huge cpc support here ! tt.token tt.token","VBD PRP$ NN VBG HT JJ IN USR . JJ NNP NN RB . HT HT","","3.5"
"gr8 eve with usr yest . join us this aft in usr as we open camp office tt.token tt.token","JJ NN IN USR NN . VB PRP DT JJ IN USR IN PRP JJ NN NN HT HT","","2.0"
"hey usr - team usr is tuned in and ready to go ! tt.token tt.token usr","UH USR : NN USR VBZ VBN IN CC JJ TO VB . HT HT USR","","3.5"
"the tt.token $15/hr federal minimum wage proposal , explained : tt.token tt.token tt.token tt.token url","DT HT NN JJ NNP NN NN , VBD : HT HT HT HT URL","","2.0"
"great night door knocking in usr - of the many signs secured tonight my fav was rcaf veteran's lawn tt.token","JJ NN NN VBG IN USR : IN DT JJ NNS VBD NN PRP$ NN VBD NNP NNP NN HT","","5.0"
"thanks to usr we can now map votes by poll in toronto , showing rich variation across the city tt.token","NNS TO USR PRP MD RB NN NNS IN NN IN NNP , VBG JJ NN IN DT NN HT","","3.5"
"tt.token sign on the fence of a public school . totally forbiddeb by electoral law ... tt.token tt.token tt.token","HT NN IN DT NN IN DT NN NN . RB NNP IN JJ NN : HT HT HT","","3.5"
"pretty much sums it up tt.token","RB RB VB PRP RP HT","","2.0"
"celebrating labour day w/ our next prime minister & our tt.token family . tt.token tt.token tt.token","VBG NNP NNP IN PRP$ JJ NN NN CC PRP$ HT NN . HT HT HT","","5.0"
"hitler and harper click : ? ? ? ? ? ? tt.token tt.token can you see the difference ? ? ? ? url","NNP CC NNP NN : . . . . . . HT HT MD PRP VBP DT NN . . . . URL","","2.0"
"candidates meeting for tt.token on tt.token and tt.token issues . tt.token tt.token tt.token","NNS VBG IN HT IN HT CC HT NNS . HT HT HT","","0.0"
"usr trolling parcx looking for an office for tt.token tt.token tt.token url","USR VBG NNP VBG IN DT NN IN HT HT HT URL","","-1.5"
". usr throuhg his actions , has shown his disdain for any canadian who opposes his conservative agenda . tt.token",". USR VBG PRP$ NNS , VBZ VBN PRP$ NN IN DT JJ WP VBZ PRP$ JJ NN . HT","","-5.0"
"how the voters roll in sidney tt.token tt.token","WRB DT NNS VB IN NNP HT HT","","2.0"
"usr tt.token coverage excludes tt.token voice on usr again . why ? usr usr usr","USR HT NN VBZ HT NN IN USR RB . WRB . USR USR USR","","3.5"
"usr anticipates a quiet weekend during tt.token . tt.token tt.token tt.token tt.token tt.token tt.token","USR VBZ DT JJ NN IN HT . HT HT HT HT HT HT","","-1.5"
"trudeau socialist tt.token beta version 1.0 ... meet the wrecking crew ... tt.token tt.token","NNP NNP HT NN NN CD : VB DT NN NN : HT HT","","5.0"
"usr usr usr tt.token . i had a posting censored on facebook over tt.token ! read the photo !","USR USR USR HT . PRP VBD DT VBG VBN IN NNP IN HT . VB DT NN .","","3.5"
"usr usr jason kenny redefines `` deficit `` tt.token","USR USR NNP NNP NNP `` NN `` HT","","-1.5"
"from the conversations i've been having with seniors , this is key . tt.token tt.token tt.token tt.token","IN DT NNS PRP VBN VBG IN NNS , DT VBZ JJ . HT HT HT HT","","3.5"
"mulroney , crosbie pine for the days when campaigns were fun : tt.token tt.token url","NNP , NNP NN IN DT NNS WRB NNS VBD JJ : HT HT URL","","2.0"
"harper is sitting back and letting the opposition parties do his dirty work . tt.token tt.token tt.token","NNP VBZ VBG RB CC VBG DT NN NNS VBP PRP$ JJ NN . HT HT HT","","-5.0"
"let's make abortion tt.token tt.token tt.token tt.token tt.token tt.token tt.token tt.token tt.token tt.token tt.token tt.token","VBP VB NN HT HT HT HT HT HT HT HT HT HT HT HT","","3.5"
"waiting for usr to come to tt.token tt.token","VBG IN USR TO VB TO HT HT","","3.5"
"my liberal candidate usr : usr great bio piece tt.token tt.token url","PRP$ JJ NN USR : USR JJ JJ NN HT HT URL","","2.0"
"tight three way race proves , yet again , none of the leaders/politicians inspire cdns tt.token tt.token tt.token tt.token tt.token","JJ CD NN NN VBZ , CC RB , NN IN DT NNS VBP NNS HT HT HT HT HT","","-1.5"
"i voted today ! tt.token tt.token tt.token","PRP VBD NN . HT HT HT","","5.0"
"tnx to all who attended our tt.token griesbach tt.token meet/greet today with tt.token usr tt.token tt.token rts ?","UH TO DT WP VBD PRP$ HT NNP HT VBP NN IN HT USR HT HT NNS .","","2.0"
"another `` 1 more `` before i leave . educate . inform . make sure tt.token supporters know the truth . tt.token tt.token","DT `` CD RBR `` IN PRP VBP . VB . VB . VB JJ HT NNS VBP DT NN . HT HT","","2.0"
"wrote about politicians `` stances on refugees/human beings . math via usr : tt.token url","VBD IN NNS `` NNS IN NN NNS . NNP IN USR : HT URL","","2.0"
"ditto justin , tom , msm , public broadcaster ... trust but verify ... self inform ... the stakes are high ! tt.token tt.token","UH NNP , NNP , NNP , NNP NNP : NN CC VB : NN NN : DT NNS VBP JJ . HT HT","","2.0"
"great article today in to metro . tt.token tt.token tt.token","JJ NN NN IN TO NNP . HT HT HT","","2.0"
"voted w special ballot @ tt.token usr office , before gradschool in london , uk ! tt.token tt.token","VBD NNP JJ NN IN HT USR NN , IN NN IN NNP , NNP . HT HT","","2.0"
"trudeau's new web ad targetting `` youths `` tt.token tt.token url","NNP JJ NN NN VBG `` NNS `` HT HT URL","","3.5"
"if abortion is a settled issue in tt.token than why people get upset with images of abortion ? tt.token tt.token","IN NN VBZ DT JJ NN IN HT IN WRB NNS VBP JJ IN NNS IN NN . HT HT","","-1.5"
"media release : progressive canadian party on bank of canada infrastructure funding . tt.token url","NNP NNP : JJ NNP NNP IN NNP IN NNP NN NN . HT URL","","2.0"
"? ? ? ? ? ? ? a tt.token couple sent me this before heading on an extended trip abroad ? ? so grateful ? ? tt.token tt.token",". . . . . . . DT HT NN VBD PRP DT IN VBG IN DT JJ NN RB . . RB JJ . . HT HT","","3.5"
"i will vote in 2015 because i want harper out ! tt.token tt.token tt.token","PRP MD VB IN CD IN PRP VBP NNP RP . HT HT HT","","5.0"
"any number promised for refugee acceptance meaningless without action , as with unspent budgets . tt.token tt.token","DT NN VBD IN NN NN JJ IN NN , IN IN JJ NNS . HT HT","","-1.5"
"exactly 5,227,200 seconds ( 60.5 days ) until tt.token . tt.token tt.token tt.token url","UH CD NNS -LRB- CD NNS -RRB- IN HT . HT HT HT URL","","3.5"
"tt.token is trending in tt.token good . keep it coming . sign the petiiton : url","HT VBZ VBG IN HT JJ . VB PRP VBG . VB DT NN : URL","","2.0"
"some wonderful sisters of the cupw/cupe/cope contingent singing harperman at parliament hill tt.token tt.token","DT JJ NNS IN DT NNP NN VBG NNP IN NNP NNP HT HT","","3.5"
"a message from usr tt.token tt.token tt.token","DT NN IN USR HT HT HT","","3.5"
". usr usr usr usr let me help you out here : tt.token",". USR USR USR USR VB PRP VBP PRP RP RB : HT","","5.0"
"harper’s new spokesperson is kind of endearing , i suppose . tt.token tt.token tt.token tt.token url","NNP JJ NN VBZ NN IN JJ , PRP VBP . HT HT HT HT URL","","2.0"
"first sign in the ground today ! tt.token tt.token tt.token tt.token tt.token","JJ NN IN DT NN NN . HT HT HT HT HT","","5.0"
"blast from the past tt.token tt.token usr tt.token","NN IN DT JJ HT HT USR HT","","3.5"
"900 ! ? ! ? ? i'm pumped by all the twitter love & support ? ? ? ? you rock , tt.token tt.token ! ? ? ? ? tt.token tt.token","CD . . . . . PRP VBN IN DT DT NNP NN CC VBP . . . . PRP VBP , HT HT . . . . . HT HT","","5.0"
"stephen harper has stripped 1 million ex-pat canadians of voting rights . there are no second-class citizens . tt.token","NNP NNP VBZ VBN CD NN JJ NNS IN VBG NNS . EX VBP DT JJ NNS . HT","","-1.5"
"the next prime minister of tt.token tt.token tt.token tt.token tt.token","DT JJ NN NN IN HT HT HT HT HT","","5.0"
"you need a warm , wool tt.token toque : cause tt.token tt.token tt.token tt.token tt.token url","PRP VBP DT JJ , NN HT NN : IN HT HT HT HT HT URL","","3.5"
"is politics broken ? usr usr usr & usr discuss ! tt.token tt.token tt.token","VBZ NNS JJ . USR USR USR CC USR VB . HT HT HT","","-5.0"
"time to go big or go home . tt.token tt.token tt.token tt.token tt.token tt.token","NN TO VB JJ CC VBP NN . HT HT HT HT HT HT","","2.0"
"cpc leader stephen harper responds to small biz election priorities tt.token tt.token url","NNP NN NNP NNP VBZ TO JJ NN NN NNS HT HT URL","","3.5"
"sometimes the answer is standing right in front of you , captain obvious . tt.token","RB DT NN VBZ VBG RB IN NN IN PRP , NNP NNP . HT","","-1.5"
